模块,section,endpoint_id,endpoint_label,状态,端点类型,catalog字段数,已命中字段数,facts数,已命中字段,未命中字段,关键词,证据文件
首页实时概览,homepage,homepage_realtime,首页实时概览,已命中,observed,41,13,43,"avg_price, comment_score_summary, date, hotel_id, hotel_name, loss_order_count, order_amount, order_count, rank, room_nights, target_url, tensity, visitor_count","bad_review_tag, base_score, competitor_average, competitor_avg_visitor, conversion_rate, ctrip_rating, deduct_score, detail_visitor, flow_rate, hotel_collect, hotel_collect_rank, im_score, keyword, list_exposure, occupancy_rate, order_page_visitor, order_submit_user, page_views, psi_score, qunar_competitor_avg_visitor, qunar_visitor_rank, reply_rank, reply_rate, reward_score, service_score, service_score_rank, source_name, visitor_rank",queryHomePageRealTimeData,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json
经营报告-概要,business_overview,platform_resource_popups,经营报告-概要,已命中,supporting,8,1,6,config_value,"config_name, date, hotel_id, hotel_name, notice_text, notice_title, target_url",getEbkResourcePopups,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json
经营报告-概要,business_overview,platform_notifications,经营报告-概要,已命中,supporting,8,3,52,"config_value, notice_title, target_url","config_name, date, hotel_id, hotel_name, notice_text","getMultiNotifyMessage, queryEPush",ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json
经营报告-概要,business_overview,hotel_advice,经营报告-概要,已命中,observed,7,4,22,"advice_text, diagnosis_level, diagnosis_score, hotel_id","advice_count, date, hotel_name",getHotelAdvice,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json
经营报告-概要,business_overview,business_realtime,经营报告-概要,已命中,observed,25,3,6,"hotel_id, order_count, visitor_count","avg_price, competitor_average, competitor_avg_visitor, conversion_rate, date, detail_visitor, flow_rate, hotel_name, keyword, list_exposure, occupancy_rate, order_amount, order_page_visitor, order_submit_user, page_views, qunar_competitor_avg_visitor, qunar_visitor_rank, rank, room_nights, source_name, tensity, visitor_rank",getDayReportRealTimeDate,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json
经营报告-概要,business_overview,business_capacity,经营报告-概要,已命中,observed,12,5,7,"competitor_average, occupancy_rate, order_count, rank, room_nights","avg_price, conversion_rate, date, hotel_id, hotel_name, order_amount, tensity",fetchCapacityOverViewV4,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json
经营报告-概要,business_overview,business_market_overview,经营报告-概要,已命中,observed,12,7,13,"avg_price, conversion_rate, occupancy_rate, order_amount, order_count, rank, room_nights","competitor_average, date, hotel_id, hotel_name, tensity",fetchMarketOverViewV2,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json
经营报告-概要,business_overview,business_flow_compete,经营报告-概要,已命中,observed,29,6,7,"competitor_orders, competitor_revenue, competitor_visitor, hotel_id, order_amount, order_count","avg_price, competitor_average, competitor_avg_visitor, competitor_number, conversion_rate, date, detail_visitor, flow_rate, hotel_name, keyword, list_exposure, occupancy_rate, order_page_visitor, order_submit_user, page_views, qunar_competitor_avg_visitor, qunar_visitor_rank, rank, room_nights, source_name, tensity, visitor_count, visitor_rank",getDayReportFlowCompete,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json
经营报告-概要,business_overview,business_visitor_title,经营报告-概要,已命中,observed,16,4,5,"competitor_avg_visitor, qunar_competitor_avg_visitor, visitor_count, visitor_rank","date, detail_visitor, flow_rate, hotel_id, hotel_name, keyword, list_exposure, order_page_visitor, order_submit_user, page_views, qunar_visitor_rank, source_name",fetchVisitorTitleV2,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json
经营报告-概要,business_overview,business_hotel_seq,经营报告-概要,已命中,observed,4,1,4,seq_rank,"date, hotel_id, hotel_name",fetchCurrentHotelSeqInfoV1,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json
经营报告-概要,business_overview,business_flow_transform,经营报告-概要,已命中,observed,16,7,16,"date, detail_visitor, flow_rate, hotel_id, list_exposure, order_page_visitor, order_submit_user","competitor_avg_visitor, hotel_name, keyword, page_views, qunar_competitor_avg_visitor, qunar_visitor_rank, source_name, visitor_count, visitor_rank","queryFlowTransformNewV1, queryFlowTransforNewV1, queryFlowTransferNewV1",ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json
经营报告-概要,business_overview,business_service_quantity,经营报告-概要,已命中,observed,17,12,12,"bad_review_tag, comment_score_summary, ctrip_rating, deduct_score, hotel_collect, hotel_collect_rank, im_score, psi_score, reply_rank, reply_rate, service_score, service_score_rank","base_score, date, hotel_id, hotel_name, reward_score",getDayReportServerQuantity,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json
经营报告-概要,business_overview,weekly_compete_report,经营报告-概要,已命中,observed,9,8,234,"amount_rank, comment_score_rank, conversion_rate_rank, hotel_id, hotel_name, order_rank, room_nights_rank, visitor_rank",date,getCompeteHotelReportV1,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json
经营报告-概要,business_overview,weekly_report,经营报告-概要,已命中,observed,33,6,38,"hotel_id, hotel_name, order_amount, order_count, order_page_visitor, order_submit_user","avg_price, booking_days, competitor_average, competitor_avg_visitor, conversion_rate, date, detail_visitor, flow_rate, keyword, list_exposure, occupancy_rate, page_views, price_band, qunar_competitor_avg_visitor, qunar_visitor_rank, rank, room_nights, source_name, stay_days, strategy, tensity, user_age, user_sex, user_source, user_type, visitor_count, visitor_rank","getReportSuggestV1, getLastWeekReportV1, getWeekSuggestionV1, getTrafficReportV1, getUserBehaviorV1, getHotRoomsV1, getFlowHotelsV1, getHotHotelsV1, getHotWordsV1",ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json
经营报告-销售数据,sales_report,sales_market_detail,经营报告-销售数据,模块有响应但端点未命中,observed,12,0,0,,"avg_price, competitor_average, conversion_rate, date, hotel_id, hotel_name, occupancy_rate, order_amount, order_count, rank, room_nights, tensity","queryMarketDetails, queryMarketDetailsV1",ctrip_section_trial_tiancheng_58_sales_report_20260602131200.json
经营报告-销售数据,sales_report,sales_tensity_overview,经营报告-销售数据,已命中,observed,12,2,4,"date, tensity","avg_price, competitor_average, conversion_rate, hotel_id, hotel_name, occupancy_rate, order_amount, order_count, rank, room_nights",fetchTensityOverViewV1,ctrip_section_trial_tiancheng_58_sales_report_20260602131200.json
经营报告-销售数据,sales_report,sales_order_trend,经营报告-销售数据,已命中,observed,12,2,288,"date, order_count","avg_price, competitor_average, conversion_rate, hotel_id, hotel_name, occupancy_rate, order_amount, rank, room_nights, tensity",queryOrderTrendV1,ctrip_section_trial_tiancheng_58_sales_report_20260602131200.json
经营报告-销售数据,sales_report,sales_occupied_room_trend,经营报告-销售数据,已命中,observed,12,3,396,"date, occupancy_rate, room_nights","avg_price, competitor_average, conversion_rate, hotel_id, hotel_name, order_amount, order_count, rank, tensity","queryHotelOccupiedRoomTrendV1, getRoomOccupiedRoomTrend",ctrip_section_trial_tiancheng_58_sales_report_20260602131200.json
经营报告-销售数据,sales_report,sales_tensities,经营报告-销售数据,已命中,observed,12,3,504,"competitor_average, date, tensity","avg_price, conversion_rate, hotel_id, hotel_name, occupancy_rate, order_amount, order_count, rank, room_nights","queryHotelTensitiesV1, queryRoomTensitiesV1",ctrip_section_trial_tiancheng_58_sales_report_20260602131200.json
经营报告-销售数据,sales_report,sales_min_price,经营报告-销售数据,已命中,observed,5,2,2,"min_price, min_price_rank","date, hotel_id, hotel_name",queryHotelMinPriceV1,ctrip_section_trial_tiancheng_58_sales_report_20260602131200.json
经营报告-销售数据,sales_report,sales_market_room_tensity,经营报告-销售数据,已命中,observed,12,2,672,"date, room_nights","avg_price, competitor_average, conversion_rate, hotel_id, hotel_name, occupancy_rate, order_amount, order_count, rank, tensity","queryMarketRoomTensity, queryRoomOccupiedTrend",ctrip_section_trial_tiancheng_58_sales_report_20260602131200.json
经营报告-房型,room_type,room_type_info,经营报告-房型,已命中,observed,8,5,28,"available_room, cancel_rate, room_type_id, room_type_name, total_room","date, hotel_id, hotel_name",queryRoomTypeInfo,ctrip_section_trial_tiancheng_58_room_type_20260602124952.json
经营报告-房型,room_type,room_competing_hotels,经营报告-房型,已命中,observed,7,6,175,"competitor_hotel_name, distance, hotel_id, hotel_name, star_level, zone_name",date,queryCompetingHotelsV2,ctrip_section_trial_tiancheng_58_room_type_20260602124952.json
经营报告-房型,room_type,room_competitive_market,经营报告-房型,已命中,observed,12,5,141,"date, hotel_id, hotel_name, order_amount, room_nights","avg_price, competitor_average, conversion_rate, occupancy_rate, order_count, rank, tensity",fetchCompetitiveMarket,ctrip_section_trial_tiancheng_58_room_type_20260602124952.json
经营报告-房型,room_type,room_venderbility,经营报告-房型,模块有响应但端点未命中,screenshot_only,5,0,0,,"date, hotel_id, hotel_name, sale_status, suggest_action","queryVendibilityRoom, queryVenderbilityRoom",ctrip_section_trial_tiancheng_58_room_type_20260602124952.json
经营报告-流量数据,traffic_report,traffic_scan_flow,经营报告-流量数据,模块有响应但端点未命中,observed,16,0,0,,"competitor_avg_visitor, date, detail_visitor, flow_rate, hotel_id, hotel_name, keyword, list_exposure, order_page_visitor, order_submit_user, page_views, qunar_competitor_avg_visitor, qunar_visitor_rank, source_name, visitor_count, visitor_rank",queryScanFlowDetailsV2,ctrip_section_trial_tiancheng_58_traffic_report_20260602131410.json
经营报告-流量数据,traffic_report,traffic_flow_transform,经营报告-流量数据,已命中,observed,16,7,624,"date, detail_visitor, flow_rate, hotel_id, list_exposure, order_page_visitor, order_submit_user","competitor_avg_visitor, hotel_name, keyword, page_views, qunar_competitor_avg_visitor, qunar_visitor_rank, source_name, visitor_count, visitor_rank","queryFlowTransformNewV1, queryFlowTransforNewV1, queryFlowTransferNewV1",ctrip_section_trial_tiancheng_58_traffic_report_20260602131410.json
经营报告-流量数据,traffic_report,traffic_order_overview,经营报告-流量数据,已命中,observed,25,3,4,"competitor_average, order_count, rank","avg_price, competitor_avg_visitor, conversion_rate, date, detail_visitor, flow_rate, hotel_id, hotel_name, keyword, list_exposure, occupancy_rate, order_amount, order_page_visitor, order_submit_user, page_views, qunar_competitor_avg_visitor, qunar_visitor_rank, room_nights, source_name, tensity, visitor_count, visitor_rank",fetchOrderOverView,ctrip_section_trial_tiancheng_58_traffic_report_20260602131410.json
经营报告-流量数据,traffic_report,traffic_order_trend,经营报告-流量数据,已命中,observed,25,2,72,"date, order_count","avg_price, competitor_average, competitor_avg_visitor, conversion_rate, detail_visitor, flow_rate, hotel_id, hotel_name, keyword, list_exposure, occupancy_rate, order_amount, order_page_visitor, order_submit_user, page_views, qunar_competitor_avg_visitor, qunar_visitor_rank, rank, room_nights, source_name, tensity, visitor_count, visitor_rank",queryOrderTrendV1,ctrip_section_trial_tiancheng_58_traffic_report_20260602131410.json
经营报告-流量数据,traffic_report,traffic_flow_source,经营报告-流量数据,已命中,observed,16,3,77,"keyword, page_views, source_name","competitor_avg_visitor, date, detail_visitor, flow_rate, hotel_id, hotel_name, list_exposure, order_page_visitor, order_submit_user, qunar_competitor_avg_visitor, qunar_visitor_rank, visitor_count, visitor_rank","queryFlowSource, getRealTimeVisitorSourceV1",ctrip_section_trial_tiancheng_58_traffic_report_20260602131410.json
经营报告-流量数据,traffic_report,traffic_city_keywords,经营报告-流量数据,已命中,observed,16,3,260,"keyword, page_views, visitor_count","competitor_avg_visitor, date, detail_visitor, flow_rate, hotel_id, hotel_name, list_exposure, order_page_visitor, order_submit_user, qunar_competitor_avg_visitor, qunar_visitor_rank, source_name, visitor_rank","queryCityHotKeywords, queryQunarCityHotSearch",ctrip_section_trial_tiancheng_58_traffic_report_20260602131410.json
经营报告-流量数据,traffic_report,traffic_search_details,经营报告-流量数据,模块有响应但端点未命中,observed,16,0,0,,"competitor_avg_visitor, date, detail_visitor, flow_rate, hotel_id, hotel_name, keyword, list_exposure, order_page_visitor, order_submit_user, page_views, qunar_competitor_avg_visitor, qunar_visitor_rank, source_name, visitor_count, visitor_rank",querySearchFlowDetails,ctrip_section_trial_tiancheng_58_traffic_report_20260602131410.json
经营报告-流量数据,traffic_report,traffic_hotel_min_price,经营报告-流量数据,已命中,observed,5,2,2,"min_price, min_price_rank","date, hotel_id, hotel_name",queryHotelMinPriceV1,ctrip_section_trial_tiancheng_58_traffic_report_20260602131410.json
经营报告-流量数据,traffic_report,traffic_picture_quality,经营报告-流量数据,已命中,observed,17,2,4,"bad_review_tag, psi_score","base_score, comment_score_summary, ctrip_rating, date, deduct_score, hotel_collect, hotel_collect_rank, hotel_id, hotel_name, im_score, reply_rank, reply_rate, reward_score, service_score, service_score_rank",getPictureQualityScore,ctrip_section_trial_tiancheng_58_traffic_report_20260602131410.json
经营报告-流量数据,traffic_report,traffic_comment_score_summary,经营报告-流量数据,已命中,observed,17,2,6,"comment_score_summary, ctrip_rating","bad_review_tag, base_score, date, deduct_score, hotel_collect, hotel_collect_rank, hotel_id, hotel_name, im_score, psi_score, reply_rank, reply_rate, reward_score, service_score, service_score_rank",getCommentsScoreV2,ctrip_section_trial_tiancheng_58_traffic_report_20260602131410.json
竞争圈-概览,competitor_overview,competitor_management,竞争圈动态-概览,模块超时,observed,12,0,0,,"avg_price, competitor_average, conversion_rate, date, hotel_id, hotel_name, occupancy_rate, order_amount, order_count, rank, room_nights, tensity",getManagementData,
竞争圈-概览,competitor_overview,competitor_hotel_label,竞争圈动态-概览,模块超时,supporting,4,0,0,,"date, hotel_id, hotel_label, hotel_name",getMasterHotelLabel,
竞争圈-概览,competitor_overview,competitor_flow,竞争圈动态-概览,模块超时,observed,16,0,0,,"competitor_avg_visitor, date, detail_visitor, flow_rate, hotel_id, hotel_name, keyword, list_exposure, order_page_visitor, order_submit_user, page_views, qunar_competitor_avg_visitor, qunar_visitor_rank, source_name, visitor_count, visitor_rank",getFlowData,
竞争圈-概览,competitor_overview,competitor_service,竞争圈动态-概览,模块超时,observed,17,0,0,,"bad_review_tag, base_score, comment_score_summary, ctrip_rating, date, deduct_score, hotel_collect, hotel_collect_rank, hotel_id, hotel_name, im_score, psi_score, reply_rank, reply_rate, reward_score, service_score, service_score_rank",getServiceData,
竞争圈-概览,competitor_overview,competitor_flow_source,竞争圈动态-概览,模块超时,observed,16,0,0,,"competitor_avg_visitor, date, detail_visitor, flow_rate, hotel_id, hotel_name, keyword, list_exposure, order_page_visitor, order_submit_user, page_views, qunar_competitor_avg_visitor, qunar_visitor_rank, source_name, visitor_count, visitor_rank",getFlowSource,
竞争圈-流失分析,loss_analysis,loss_order_summary,竞争圈动态-流失分析,模块超时,observed,9,0,0,,"common_view_rate, competitor_hotel_name, date, hotel_id, hotel_name, loss_order_amount, loss_order_count, loss_room_nights, order_conversion_rate",getTripartiteOrderLoss,
竞争圈-流失分析,loss_analysis,loss_compete_hotel,竞争圈动态-流失分析,模块超时,observed,7,0,0,,"common_view_rate, competitor_hotel_name, date, follow_status, hotel_id, hotel_name, order_conversion_rate",getLossOrderCompeteHotel,
竞争圈-榜单,competitor_rank,competitor_rank,竞争圈动态-榜单,模块超时,observed,12,0,0,,"amount_rank, comment_score_rank, conversion_rate_rank, date, hotel_id, hotel_name, occupancy_rate_rank, order_rank, rank_metric, room_nights_rank, traffic_rank, visitor_rank",getCompetingRank,
用户行为-用户画像,user_profile,user_profile_features,用户行为-用户分析,已命中,observed,11,6,48,"booking_days, hotel_name, stay_days, user_age, user_sex, user_source","date, hotel_id, price_band, strategy, user_type","queryUserFeatures, getUserImageList",ctrip_section_trial_tiancheng_58_user_profile_20260602133500.json
用户行为-用户画像,user_profile,user_profile_dimensions,用户行为-用户分析,模块有响应但端点未命中,observed,20,0,0,,"avg_price, booking_days, competitor_average, conversion_rate, date, hotel_id, hotel_name, occupancy_rate, order_amount, order_count, price_band, rank, room_nights, stay_days, strategy, tensity, user_age, user_sex, user_source, user_type","queryUserSex, queryUserType, queryUserPriceInfo, queryUserSource, queryUserBookingDays, queryUserStayDays, queryUserAge, queryUserPoint, queryUserTravelTime, queryUserStar, queryUserPrice, queryOrderType, queryUserOrders, getOrderDistribution",ctrip_section_trial_tiancheng_58_user_profile_20260602133500.json
用户行为-IM看板,im_board,im_index,用户行为-IM看板,已命中,observed,7,6,1287,"date, five_min_reply_rate, hotel_id, im_rank, manual_reply_rate, robot_resolution_rate",hotel_name,getImIndex,ctrip_section_trial_tiancheng_58_im_board_20260602133800.json
用户行为-IM看板,im_board,im_trend,用户行为-IM看板,已命中,observed,7,5,600,"date, im_order_conversion_rate, manual_session_count, robot_session_count, session_count","hotel_id, hotel_name","getImDateDistribute, getImSessionDistribute, getImOrderConversionRateByDay, getImOrderConversionDetail",ctrip_section_trial_tiancheng_58_im_board_20260602133800.json
金字塔广告,ads_pyramid,ads_summary_report,金字塔推广,已命中-需复核,observed,14,11,13,"ad_clicks, ad_cost, ad_impressions, ad_order_amount, ad_orders, ad_room_nights, campaign_id, ctr, cvr, date, roas","diagnosis_text, hotel_id, hotel_name",queryCampaignSummaryReport,ctrip_section_trial_tiancheng_58_ads_pyramid_20260602134100.json
金字塔广告,ads_pyramid,ads_report_list,金字塔推广,已命中-需复核,observed,14,11,182,"ad_clicks, ad_cost, ad_impressions, ad_order_amount, ad_orders, ad_room_nights, campaign_id, ctr, cvr, date, roas","diagnosis_text, hotel_id, hotel_name",queryCampaignReportList,ctrip_section_trial_tiancheng_58_ads_pyramid_20260602134100.json
金字塔广告,ads_pyramid,ads_click_live,金字塔推广,模块有响应但端点未命中,observed,14,0,0,,"ad_clicks, ad_cost, ad_impressions, ad_order_amount, ad_orders, ad_room_nights, campaign_id, ctr, cvr, date, diagnosis_text, hotel_id, hotel_name, roas",queryCpcClickLive,ctrip_section_trial_tiancheng_58_ads_pyramid_20260602134100.json
金字塔广告,ads_pyramid,ads_diagnosis,金字塔推广,模块有响应但端点未命中,observed,14,0,0,,"ad_clicks, ad_cost, ad_impressions, ad_order_amount, ad_orders, ad_room_nights, campaign_id, ctr, cvr, date, diagnosis_text, hotel_id, hotel_name, roas","queryPyramidCpcDiagnosis, fetchPyramidCpcDiagnosis",ctrip_section_trial_tiancheng_58_ads_pyramid_20260602134100.json
金字塔广告,ads_pyramid,ads_diagnostic_details,金字塔推广,已命中-需复核,observed,14,2,13,"campaign_id, hotel_id","ad_clicks, ad_cost, ad_impressions, ad_order_amount, ad_orders, ad_room_nights, ctr, cvr, date, diagnosis_text, hotel_name, roas",getCpcDiagnosticDetails,ctrip_section_trial_tiancheng_58_ads_pyramid_20260602134100.json
金字塔广告,ads_pyramid,ads_interpretation,金字塔推广,模块有响应但端点未命中,observed,14,0,0,,"ad_clicks, ad_cost, ad_impressions, ad_order_amount, ad_orders, ad_room_nights, campaign_id, ctr, cvr, date, diagnosis_text, hotel_id, hotel_name, roas",fetchCpcDataReportInterpretation,ctrip_section_trial_tiancheng_58_ads_pyramid_20260602134100.json
金字塔广告,ads_pyramid,ads_peer_comparison,金字塔推广,已命中-需复核,observed,16,3,1176,"date, peer_avg, peer_top","ad_clicks, ad_cost, ad_impressions, ad_order_amount, ad_orders, ad_room_nights, campaign_id, ctr, cvr, diagnosis_text, hotel_id, hotel_name, roas","getPeerComparisonInfoDetail, getHotelZoneName",ctrip_section_trial_tiancheng_58_ads_pyramid_20260602134100.json
金字塔广告,ads_pyramid,ads_filters,金字塔推广,已命中-需复核,observed,14,2,6,"campaign_id, date","ad_clicks, ad_cost, ad_impressions, ad_order_amount, ad_orders, ad_room_nights, ctr, cvr, diagnosis_text, hotel_id, hotel_name, roas","queryBasePremiumFilterList, queryPromotionKeywords, getDspAccounts, getCpcCampaignList",ctrip_section_trial_tiancheng_58_ads_pyramid_20260602134100.json
金字塔广告,ads_pyramid,ads_resource_yellow_bar,金字塔推广,已命中-需复核,supporting,8,1,4,config_value,"config_name, date, hotel_id, hotel_name, notice_text, notice_title, target_url",getEbkResourceYellowBar,ctrip_section_trial_tiancheng_58_ads_pyramid_20260602134100.json
金字塔广告,ads_pyramid,ads_dynamic_config,金字塔推广,已命中-需复核,supporting,8,2,6,"config_name, config_value","date, hotel_id, hotel_name, notice_text, notice_title, target_url",getDynamicConfig,ctrip_section_trial_tiancheng_58_ads_pyramid_20260602134100.json
金字塔广告,ads_pyramid,ads_report_injection,金字塔推广,已命中-需复核,supporting,8,3,32,"config_name, config_value, notice_text","date, hotel_id, hotel_name, notice_title, target_url",reportInjectFnInfo,ctrip_section_trial_tiancheng_58_ads_pyramid_20260602134100.json
PSI服务质量,quality_psi,psi_overview,PSI服务质量分,已命中,observed,17,7,761,"base_score, date, deduct_score, hotel_id, hotel_name, psi_score, reward_score","bad_review_tag, comment_score_summary, ctrip_rating, hotel_collect, hotel_collect_rank, im_score, reply_rank, reply_rate, service_score, service_score_rank",getHotelPsiV2,ctrip_section_trial_tiancheng_58_quality_psi_20260602134500.json
PSI服务质量,quality_psi,psi_growth_task,PSI服务质量分,已命中,observed,19,3,8,"hotel_name, task_action, task_name","bad_review_tag, base_score, comment_score_summary, ctrip_rating, date, deduct_score, hotel_collect, hotel_collect_rank, hotel_id, im_score, psi_score, reply_rank, reply_rate, reward_score, service_score, service_score_rank","queryPsiGrowthTaskList, queryRewardScoreActivityList",ctrip_section_trial_tiancheng_58_quality_psi_20260602134500.json
PSI服务质量,quality_psi,psi_history,PSI服务质量分,已命中,observed,17,7,780,"base_score, date, deduct_score, hotel_id, hotel_name, psi_score, reward_score","bad_review_tag, comment_score_summary, ctrip_rating, hotel_collect, hotel_collect_rank, im_score, reply_rank, reply_rate, service_score, service_score_rank",queryHistPsiScoreList,ctrip_section_trial_tiancheng_58_quality_psi_20260602134500.json
PSI服务质量,quality_psi,psi_course,PSI服务质量分,已命中,observed,5,2,58,"course_title, course_url","date, hotel_id, hotel_name",getRecommendedCourseBy,ctrip_section_trial_tiancheng_58_quality_psi_20260602134500.json
热点日历,market_calendar,hot_calendar,热点日历,模块有响应但端点未命中,observed,6,0,0,,"date, end_date, hot_spot_name, hotel_id, hotel_name, start_date",queryHotCalendarInfo,ctrip_section_trial_tiancheng_58_market_calendar_20260602134700.json
携程商旅-BPI,biztravel_bpi,biztravel_bpi_overview,携程商旅-BPI分,模块无响应,observed,11,0,0,,"agreement_accept_rate, basis_score, bpi_score, business_amount, business_commission_rate, business_room_nights, date, hotel_id, hotel_name, minus_score, plus_score",searchBpiOverview,ctrip_section_trial_tiancheng_58_biztravel_bpi_20260602134800.json
携程商旅-BPI,biztravel_bpi,biztravel_bpi_benefit,携程商旅-BPI分,模块无响应,supporting,7,0,0,,"benefit_name, benefit_status, benefit_text, date, hotel_id, hotel_name, target_url",benefitInfoList,ctrip_section_trial_tiancheng_58_biztravel_bpi_20260602134800.json
携程商旅-BPI,biztravel_bpi,biztravel_bpi_table,携程商旅-BPI分,模块无响应,observed,11,0,0,,"agreement_accept_rate, basis_score, bpi_score, business_amount, business_commission_rate, business_room_nights, date, hotel_id, hotel_name, minus_score, plus_score",getBbkComprehensiveTable,ctrip_section_trial_tiancheng_58_biztravel_bpi_20260602134800.json
携程商旅-BPI,biztravel_bpi,biztravel_bpi_rank,携程商旅-BPI分,模块无响应,observed,11,0,0,,"agreement_accept_rate, basis_score, bpi_score, business_amount, business_commission_rate, business_room_nights, date, hotel_id, hotel_name, minus_score, plus_score",searchBpiHotelRank,ctrip_section_trial_tiancheng_58_biztravel_bpi_20260602134800.json
携程商旅-BPI,biztravel_bpi,biztravel_bpi_trend,携程商旅-BPI分,模块无响应,observed,11,0,0,,"agreement_accept_rate, basis_score, bpi_score, business_amount, business_commission_rate, business_room_nights, date, hotel_id, hotel_name, minus_score, plus_score","searchBpiScoreTrend, bpiScoreTrendFilterList",ctrip_section_trial_tiancheng_58_biztravel_bpi_20260602134800.json
携程商旅-经营报告,biztravel_business_report,biztravel_business_report,携程商旅-经营报告,模块无响应,observed,20,0,0,,"agreement_accept_rate, avg_price, basis_score, bpi_score, business_amount, business_commission_rate, business_room_nights, competitor_average, conversion_rate, date, hotel_id, hotel_name, minus_score, occupancy_rate, order_amount, order_count, plus_score, rank, room_nights, tensity",dataCenterBusinessReportDetail,ctrip_section_trial_tiancheng_58_biztravel_business_report_20260602134900.json
携程商旅-竞争圈,biztravel_competitor,biztravel_competitor_report,携程商旅-竞争圈概览,模块无响应,observed,33,0,0,,"agreement_accept_rate, avg_price, basis_score, bpi_score, business_amount, business_commission_rate, business_room_nights, competitor_average, competitor_avg_visitor, conversion_rate, date, detail_visitor, flow_rate, hotel_id, hotel_name, keyword, list_exposure, minus_score, occupancy_rate, order_amount, order_count, order_page_visitor, order_submit_user, page_views, plus_score, qunar_competitor_avg_visitor, qunar_visitor_rank, rank, room_nights, source_name, tensity, visitor_count, visitor_rank","dataCenterComparisonReportDetail, dataCenterComparatorReportDetail",ctrip_section_trial_tiancheng_58_biztravel_competitor_20260602135000.json
携程商旅-经营报告,biztravel_business_report,biztravel_notice,携程商旅-经营报告,模块无响应,supporting,4,0,0,,"announcement, date, hotel_id, hotel_name",announcementInfoGet,ctrip_section_trial_tiancheng_58_biztravel_business_report_20260602134900.json
