用户选择,建表决定,目标表,canonical_key,字段名,类别,模块,sections,采集状态,source_keys,样本值,说明
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,advice_count,经营提醒数量,收益销售,经营报告-概要,business_overview,未采到-本轮未触发,"goodhotelAdviceEntityList, badhotelAdviceEntityList",,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,bad_review_tag,差评标签,服务质量/IM,首页实时概览 / 经营报告-概要 / 经营报告-流量数据 / 竞争圈-概览 / PSI服务质量,"homepage, business_overview, traffic_report, competitor_overview, quality_psi",未采到-本轮未触发 / 已采到-门禁通过 / 未采到-模块超时,"dingPingEntityList, tag",房间很干净 / 0 / 0,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,base_score,基础分,收益销售 / 流量转化 / 竞争圈 / 服务质量/IM,首页实时概览 / 经营报告-概要 / 经营报告-流量数据 / 竞争圈-概览 / PSI服务质量,"homepage, business_overview, traffic_report, competitor_overview, quality_psi",未采到-本轮未触发 / 未采到-模块超时 / 已采到-门禁通过,"baseScore, basicScore",4.59 / 4.71 / 4.72 / 4.72 / 4.71 / 4.72,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,booking_days,提前预订天数,用户行为,经营报告-概要 / 用户行为-用户画像,"business_overview, user_profile",未采到-本轮未触发 / 已采到-门禁通过,"bookingDays, advanceDays, leadTime, bookingdays",当天预定 / 当天预定 / 当天预定 / 当天预定 / 当天预定 / 当天预定,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,common_view_rate,共同浏览率,竞争圈,竞争圈-流失分析,loss_analysis,未采到-模块超时,"commonViewRate, browseRate",,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,competitor_number,竞争圈酒店数,竞争圈,经营报告-概要,business_overview,未采到-本轮未触发,competitorNumber,,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,config_name,配置名称,收益销售 / 广告推广,经营报告-概要 / 金字塔广告,"business_overview, ads_pyramid",未采到-本轮未触发 / 已采到-需复核(门禁未过),"configName, configKey, key, code",CPC_NEW_DIAGNOSIS_PAGE / 0 / 0 / 0 / 0 / CPC_NEW_DIAGNOSIS_PAGE,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,ctrip_rating,携程评分,广告推广,首页实时概览 / 经营报告-概要 / 经营报告-流量数据 / 竞争圈-概览 / PSI服务质量,"homepage, business_overview, traffic_report, competitor_overview, quality_psi",未采到-本轮未触发 / 已采到-门禁通过 / 未采到-模块超时,ctripRatingall,4.83 / 4.8 / 4.8,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,deduct_score,减分项,服务质量/IM,首页实时概览 / 经营报告-概要 / 经营报告-流量数据 / 竞争圈-概览 / PSI服务质量,"homepage, business_overview, traffic_report, competitor_overview, quality_psi",未采到-本轮未触发 / 已采到-门禁通过 / 未采到-模块超时,"deductScore, penaltyScore",0 / 0 / 0 / 0 / 0 / 0,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,diagnosis_text,诊断建议,广告推广,金字塔广告,ads_pyramid,未采到-未验证,"diagnosis, suggestion, interpretation, tasktext",,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,end_date,结束日期,收益销售,热点日历,market_calendar,未采到-接口命中但无字段,endDate,,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,follow_status,关注状态,竞争圈,竞争圈-流失分析,loss_analysis,未采到-模块超时,"followStatus, isFollow",,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,hot_spot_name,热点名称,辅助事实,热点日历,market_calendar,未采到-接口命中但无字段,hotSpotName,,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,hotel_collect,酒店收藏数,收益销售 / 流量转化 / 竞争圈 / 服务质量/IM,首页实时概览 / 经营报告-概要 / 经营报告-流量数据 / 竞争圈-概览 / PSI服务质量,"homepage, business_overview, traffic_report, competitor_overview, quality_psi",未采到-本轮未触发 / 已采到-门禁通过 / 未采到-模块超时,"hotelCollect, favoriteCount, collectCount",4830,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,hotel_collect_rank,酒店收藏排名,竞争圈 / 服务质量/IM,首页实时概览 / 经营报告-概要 / 经营报告-流量数据 / 竞争圈-概览 / PSI服务质量,"homepage, business_overview, traffic_report, competitor_overview, quality_psi",未采到-本轮未触发 / 已采到-门禁通过 / 未采到-模块超时,hotelCollectRank,20,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,hotel_label,酒店标签,竞争圈,竞争圈-概览,competitor_overview,未采到-模块超时,"label, labelName, tagName, hotelLabel, labelValue",,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,im_score,IM评分,服务质量/IM,首页实时概览 / 经营报告-概要 / 经营报告-流量数据 / 竞争圈-概览 / PSI服务质量,"homepage, business_overview, traffic_report, competitor_overview, quality_psi",未采到-本轮未触发 / 已采到-门禁通过 / 未采到-模块超时,imScore,0,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,loss_order_amount,流失订单金额,竞争圈,竞争圈-流失分析,loss_analysis,未采到-模块超时,"lossOrderAmount, amount",,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,loss_room_nights,流失间夜量,竞争圈,竞争圈-流失分析,loss_analysis,未采到-模块超时,"lossRoomNight, lossNightCount, roomNights",,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,notice_text,提示内容,收益销售 / 广告推广,经营报告-概要 / 金字塔广告,"business_overview, ads_pyramid",未采到-本轮未触发 / 已采到-需复核(门禁未过),"content, message, text, tips, tip, description, desc",success / success / success / success / success / success,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,occupancy_rate_rank,出租率排名,竞争圈,竞争圈-榜单,competitor_rank,未采到-模块超时,rentalRaterank,,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,order_conversion_rate,下单转化率,竞争圈,竞争圈-流失分析,loss_analysis,未采到-模块超时,"orderConversionRate, conversionRate",,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,price_band,消费档位,收益销售 / 辅助事实,经营报告-概要 / 用户行为-用户画像,"business_overview, user_profile",未采到-本轮未触发,"price, priceInfo, priceBand",,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,psi_score,PSI服务质量分,服务质量/IM,首页实时概览 / 经营报告-概要 / 经营报告-流量数据 / 竞争圈-概览 / PSI服务质量,"homepage, business_overview, traffic_report, competitor_overview, quality_psi",未采到-本轮未触发 / 已采到-门禁通过 / 未采到-模块超时,"psi, PSI, psiScore, qualityscore, serviceScore, totalScore",4.97 / 3.17 / 3.17 / 4.99 / 5.11 / 5.12,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,rank_metric,榜单指标,竞争圈,竞争圈-榜单,competitor_rank,未采到-模块超时,"rankType, metric, rankName",,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,reply_rank,回复排名,服务质量/IM,首页实时概览 / 经营报告-概要 / 经营报告-流量数据 / 竞争圈-概览 / PSI服务质量,"homepage, business_overview, traffic_report, competitor_overview, quality_psi",未采到-本轮未触发 / 已采到-门禁通过 / 未采到-模块超时,"imScoreHtlrank, replyrate5mRank",15,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,reply_rate,5分钟回复率,服务质量/IM,首页实时概览 / 经营报告-概要 / 经营报告-流量数据 / 竞争圈-概览 / PSI服务质量,"homepage, business_overview, traffic_report, competitor_overview, quality_psi",未采到-本轮未触发 / 已采到-门禁通过 / 未采到-模块超时,"replyrate5m, replyRate, fiveMinuteReplyRate",93.02,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,reward_score,奖励分,服务质量/IM,首页实时概览 / 经营报告-概要 / 经营报告-流量数据 / 竞争圈-概览 / PSI服务质量,"homepage, business_overview, traffic_report, competitor_overview, quality_psi",未采到-本轮未触发 / 未采到-模块超时 / 已采到-门禁通过,"rewardScore, bonusScore",0.4 / 0.4 / 0.4 / 0.4 / 0.4 / 0.4,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,sale_status,售卖状态,房型/房态,经营报告-房型,room_type,未采到-本轮未触发,"saleStatus, status",,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,service_score,服务质量分,服务质量/IM,首页实时概览 / 经营报告-概要 / 经营报告-流量数据 / 竞争圈-概览 / PSI服务质量,"homepage, business_overview, traffic_report, competitor_overview, quality_psi",未采到-本轮未触发 / 已采到-门禁通过 / 未采到-模块超时,serviceScore,4.97,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,service_score_rank,服务质量排名,服务质量/IM,首页实时概览 / 经营报告-概要 / 经营报告-流量数据 / 竞争圈-概览 / PSI服务质量,"homepage, business_overview, traffic_report, competitor_overview, quality_psi",未采到-本轮未触发 / 已采到-门禁通过 / 未采到-模块超时,serviceScoreRank,20,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,start_date,开始日期,收益销售,热点日历,market_calendar,未采到-接口命中但无字段,startDate,,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,stay_days,入住天数,用户行为,经营报告-概要 / 用户行为-用户画像,"business_overview, user_profile",未采到-本轮未触发 / 已采到-门禁通过,"stayDays, stayLength, staydays",1天 / 1天 / 1天 / 1天 / 1天 / 1天,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,strategy,提升策略,收益销售 / 辅助事实,经营报告-概要 / 用户行为-用户画像,"business_overview, user_profile",未采到-本轮未触发,"strategy, suggestion, imageList",,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,suggest_action,建议操作,房型/房态,经营报告-房型,room_type,未采到-本轮未触发,"suggestAction, action",,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,traffic_rank,流量排名,竞争圈,竞争圈-榜单,competitor_rank,未采到-模块超时,"trafficRank, appDetailUvRank",,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,user_age,年龄段,用户行为,经营报告-概要 / 用户行为-用户画像,"business_overview, user_profile",未采到-本轮未触发 / 已采到-门禁通过,"age, ageRange, userAge",35-44 / 25-34 / 35-44 / 25-34 / 35-44 / 25-34,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,user_sex,用户性别,用户行为,经营报告-概要 / 用户行为-用户画像,"business_overview, user_profile",未采到-本轮未触发 / 已采到-门禁通过,"sex, gender, userSex",男 / 男 / 男 / 男 / 男 / 男,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,user_source,客源来源,用户行为,经营报告-概要 / 用户行为-用户画像,"business_overview, user_profile",未采到-本轮未触发 / 已采到-门禁通过,"source, userSource, cityName",异地 / 异地 / 异地 / 异地 / 异地 / 异地,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,user_type,用户类型,用户行为,经营报告-概要 / 用户行为-用户画像,"business_overview, user_profile",未采到-本轮未触发,"userType, travelType",,先建缺口记录，拿到页面后再转事实
要,辅助表/实体表,ota_ctrip_entity_snapshots,campaign_id,推广计划ID,广告推广,金字塔广告,ads_pyramid,已采到-需复核(门禁未过),"campaignId, campaign_id",2172881 / 2172881,不混入核心经营指标
要,辅助表/实体表,ota_ctrip_entity_snapshots,competitor_hotel_name,竞品酒店名称,房型/房态 / 竞争圈,经营报告-房型 / 竞争圈-流失分析,"room_type, loss_analysis",已采到-门禁通过 / 未采到-模块超时,"hotelName, competeHotelName",西安海荣JW万豪酒店（文景路地铁站店） / 如家驿禾影趣酒店（西安咸阳国际机场T3T5航站楼店） / 西安威斯汀大酒店（大雁塔大唐不夜城店） / TY电竞酒店（西安咸阳国际机场店） / 西安赛瑞喜来登大酒店（古城墙龙首原地铁站店） / 西安都市118·精选酒店（西安咸阳国际机场店）,不混入核心经营指标
要,辅助表/实体表,ota_ctrip_entity_snapshots,config_value,配置值,收益销售 / 广告推广,经营报告-概要 / 金字塔广告,"business_overview, ads_pyramid",已采到-门禁通过 / 已采到-需复核(门禁未过),"configValue, value, Value",a57e6a8b-eda5-9108-a7ef-b97563c9a85c / 100025527-0a7d7e59-494548-3097241 / f812f815-bdd7-90e8-b2f5-0999b3d7423a / 100025527-0a3898cb-494548-2933660 / 3bb608a6-2c41-90df-b5b0-7fc354eb5b58 / 100025527-0a61e2da-494548-2935380,不混入核心经营指标
要,辅助表/实体表,ota_ctrip_entity_snapshots,course_title,推荐课程,服务质量/IM,PSI服务质量,quality_psi,已采到-门禁通过,"title, courseTitle",OTA运营基础操作图解 / 订单处理快速掌握 / 一图读懂“信息优化” / 酒店财务结算操作手册 / 数据中心功能介绍 / 点评管理全流程,不混入核心经营指标
要,辅助表/实体表,ota_ctrip_entity_snapshots,course_url,课程链接,服务质量/IM,PSI服务质量,quality_psi,已采到-门禁通过,"url, targetUrl",htlUniv / SytUniversity / course / viewDetailList?seriesCourseId=2274&courseType=normal / htlUniv / SytUniversity,不混入核心经营指标
要,辅助表/实体表,ota_ctrip_entity_snapshots,notice_title,提示标题,收益销售 / 广告推广,经营报告-概要 / 金字塔广告,"business_overview, ads_pyramid",已采到-门禁通过 / 未采到-未验证,"title, name, noticeTitle",预约发票提醒 / 挂牌酒店日常审核结果通知 / 平台营销推广周报 / EBK账号绑定微信 / Q2满意度调研 / 挂牌酒店日常审核结果通知,不混入核心经营指标
要,辅助表/实体表,ota_ctrip_entity_snapshots,room_type_id,房型ID,房型/房态,经营报告-房型,room_type,已采到-门禁通过,"roomId, roomTypeId, basicRoomTypeId",991218562 / 995061330 / 1360808251 / 226446780 / 991218562 / 995061330,不混入核心经营指标
要,辅助表/实体表,ota_ctrip_entity_snapshots,room_type_name,房型名称,房型/房态,经营报告-房型,room_type,已采到-门禁通过,"roomName, roomTypeName","甄选•影音大床房-小米1080P高清投影仪+120英寸大屏智投+一键无线投屏+画面自动对焦+全向自动校正+澎湃动听立体声+小米影视会员+小爱同学智能控制<无早>(钟点房)<08:00到18:00,连住3小时> / 惠享・忧选静谧大床房-商务行政<双人入住><无早> / 惠享・忧选静谧双床房-安心中转<无早> / 行政精选•舒适酣睡双床房-窗明几净<双人入住><无早> / 甄选•影音大床房-小米1080P高清投影仪+120英寸大屏智投+一键无线投屏+画面自动对焦+全向自动校正+澎湃动听立体声+小米影视会员+小爱同学智能控制<无早>(钟点房)<08:00到18:00,连住3小时> / 惠享・忧选静谧大床房-商务行政<双人入住><无早>",不混入核心经营指标
要,辅助表/实体表,ota_ctrip_entity_snapshots,task_action,行动入口,服务质量/IM,PSI服务质量,quality_psi,已采到-门禁通过,"action, targetUrl, activityUrl, url",toolcenter / cpc / pyramid / hotelinfo / ebooking / hotelpolicy#mealPolicy,不混入核心经营指标
要,辅助表/实体表,ota_ctrip_entity_snapshots,task_name,提分任务,服务质量/IM,PSI服务质量,quality_psi,已采到-门禁通过,"taskName, title, name",购买金字塔广告，即有机会抢占列表页第一位流量 / 马上行动 / 早餐政策内容维护不完整，请及时补充 / 马上行动,不混入核心经营指标
要,指标事实表,ota_ctrip_metric_facts,ad_clicks,广告点击,广告推广,金字塔广告,ads_pyramid,已采到-需复核(门禁未过),"click, clicks, clickCount",0 / 0 / 0 / 0 / 0 / 0,按 metric_key + section + endpoint 合并入事实表
要,指标事实表,ota_ctrip_metric_facts,ad_cost,广告花费,广告推广,金字塔广告,ads_pyramid,已采到-需复核(门禁未过),"todayCost, cost, cashCost, bonusCost, spend, amount",0 / 0 / 0 / 0 / 0 / 0,按 metric_key + section + endpoint 合并入事实表
要,指标事实表,ota_ctrip_metric_facts,ad_impressions,广告曝光,广告推广,金字塔广告,ads_pyramid,已采到-需复核(门禁未过),"impression, impressions, exposure, showCount",0 / 0 / 0 / 0 / 0 / 0,按 metric_key + section + endpoint 合并入事实表
要,指标事实表,ota_ctrip_metric_facts,ad_order_amount,广告预订金额,广告推广,金字塔广告,ads_pyramid,已采到-需复核(门禁未过),"orderAmount, saleAmount, revenue",0 / 0 / 0 / 0 / 0 / 0,按 metric_key + section + endpoint 合并入事实表
要,指标事实表,ota_ctrip_metric_facts,ad_orders,广告预订订单,广告推广,金字塔广告,ads_pyramid,已采到-需复核(门禁未过),"orderCount, bookingCount, bookings",0 / 0 / 0 / 0 / 0 / 0,按 metric_key + section + endpoint 合并入事实表
要,指标事实表,ota_ctrip_metric_facts,ad_room_nights,广告预订间夜,广告推广,金字塔广告,ads_pyramid,已采到-需复核(门禁未过),"roomNights, nights, quantity",0 / 0 / 0 / 0 / 0 / 0,按 metric_key + section + endpoint 合并入事实表
要,指标事实表,ota_ctrip_metric_facts,advice_text,经营建议,收益销售,经营报告-概要,business_overview,已采到-门禁通过,"tasktext, taskname, taskbutton",点评分近期下降0.01分 / 与7天内最高分数相比，今日点评分下降0.01分。提高服务质量，吸引用户自发好评。 / 查看点评分析 / 存在欠票情况 / 当前欠票337.07元，请在打款截止日之前完成支付，以免造成额外影响。 / 支付欠票,按 metric_key + section + endpoint 合并入事实表
要,指标事实表,ota_ctrip_metric_facts,amount_rank,预订销售额排名,竞争圈,经营报告-概要 / 竞争圈-榜单,"business_overview, competitor_rank",已采到-门禁通过 / 未采到-模块超时,"amount, amountRank, orderAmountRank, bookingGMVrank",6 / 2 / 22 / 21 / 8 / 24,按 metric_key + section + endpoint 合并入事实表
要,指标事实表,ota_ctrip_metric_facts,available_room,可用房量,房型/房态,经营报告-房型,room_type,已采到-门禁通过,"canUseBlockRoom, availableRoom",4 / 11 / 5 / 5,按 metric_key + section + endpoint 合并入事实表
要,指标事实表,ota_ctrip_metric_facts,cancel_rate,取消率,房型/房态,经营报告-房型,room_type,已采到-门禁通过,cancelRate,,按 metric_key + section + endpoint 合并入事实表
要,指标事实表,ota_ctrip_metric_facts,comment_score_rank,点评分排名,服务质量/IM,经营报告-概要 / 竞争圈-榜单,"business_overview, competitor_rank",已采到-门禁通过 / 未采到-模块超时,commentScore,4 / 9 / 1 / 26 / 18 / 18,按 metric_key + section + endpoint 合并入事实表
要,指标事实表,ota_ctrip_metric_facts,comment_score_summary,点评分汇总,服务质量/IM,首页实时概览 / 经营报告-概要 / 经营报告-流量数据 / 竞争圈-概览 / PSI服务质量,"homepage, business_overview, traffic_report, competitor_overview, quality_psi",已采到-门禁通过 / 未采到-模块超时 / 未采到-本轮未触发,"ctripRatingall, qunarRatingall, HotelRating, ratingall",4.8 / 4.83 / 4.8 / 4.9 / 4.8 / 4.9,按 metric_key + section + endpoint 合并入事实表
要,指标事实表,ota_ctrip_metric_facts,competitor_orders,竞品订单,竞争圈,经营报告-概要,business_overview,已采到-门禁通过,ordquantity,20,按 metric_key + section + endpoint 合并入事实表
要,指标事实表,ota_ctrip_metric_facts,competitor_revenue,竞品收入,竞争圈,经营报告-概要,business_overview,已采到-门禁通过,ordamount,4006,按 metric_key + section + endpoint 合并入事实表
要,指标事实表,ota_ctrip_metric_facts,competitor_visitor,竞品访客,竞争圈,经营报告-概要,business_overview,已采到-门禁通过,comhtluv,137,按 metric_key + section + endpoint 合并入事实表
要,指标事实表,ota_ctrip_metric_facts,conversion_rate_rank,APP转化率排名,竞争圈,经营报告-概要 / 竞争圈-榜单,"business_overview, competitor_rank",已采到-门禁通过 / 未采到-模块超时,"convertionRate, conversionRate",19 / 24 / 14 / 13 / 7 / 5,按 metric_key + section + endpoint 合并入事实表
要,指标事实表,ota_ctrip_metric_facts,ctr,点击率,广告推广,金字塔广告,ads_pyramid,已采到-需复核(门禁未过),"ctr, clickRate",0 / 0 / 0 / 0 / 0 / 0,按 metric_key + section + endpoint 合并入事实表
要,指标事实表,ota_ctrip_metric_facts,cvr,转化率,广告推广,金字塔广告,ads_pyramid,已采到-需复核(门禁未过),"cvr, conversionRate",0 / 0 / 0 / 0 / 0 / 0,按 metric_key + section + endpoint 合并入事实表
要,指标事实表,ota_ctrip_metric_facts,diagnosis_level,评级,收益销售,经营报告-概要,business_overview,已采到-门禁通过,"scorelevel, level",优秀,按 metric_key + section + endpoint 合并入事实表
要,指标事实表,ota_ctrip_metric_facts,diagnosis_score,数据诊断分,收益销售,经营报告-概要,business_overview,已采到-门禁通过,score,81,按 metric_key + section + endpoint 合并入事实表
要,指标事实表,ota_ctrip_metric_facts,distance,距离,房型/房态,经营报告-房型,room_type,已采到-门禁通过,distance,20512 / 154 / 31220 / 305 / 24256 / 235,按 metric_key + section + endpoint 合并入事实表
要,指标事实表,ota_ctrip_metric_facts,five_min_reply_rate,5分钟回复率,服务质量/IM,用户行为-IM看板,im_board,已采到-门禁通过,"replyRate5m, fiveMinReplyRate, replyRate, replyrate5m",93.02 / 71.43 / 100 / 100 / 100 / 0,按 metric_key + section + endpoint 合并入事实表
要,指标事实表,ota_ctrip_metric_facts,im_order_conversion_rate,IM客人转化率,服务质量/IM,用户行为-IM看板,im_board,已采到-门禁通过,"orderConversionRate, conversionRate, htlreplyCr",0 / 0 / 0 / 0 / 0 / 0,按 metric_key + section + endpoint 合并入事实表
要,指标事实表,ota_ctrip_metric_facts,im_rank,IM竞争圈排名,服务质量/IM,用户行为-IM看板,im_board,已采到-门禁通过,"rank, rank2, replyrate5mRank, manualreplyrate5mRank, aisolverateRank",15 / 6 / 22 / 15 / 6 / 22,按 metric_key + section + endpoint 合并入事实表
要,指标事实表,ota_ctrip_metric_facts,loss_order_count,流失订单数,竞争圈,首页实时概览 / 竞争圈-流失分析,"homepage, loss_analysis",已采到-门禁通过 / 未采到-模块超时,"lossOrderCount, lossOrderNum, orderCount",9,按 metric_key + section + endpoint 合并入事实表
要,指标事实表,ota_ctrip_metric_facts,manual_reply_rate,5分钟人工回复率,服务质量/IM,用户行为-IM看板,im_board,已采到-门禁通过,"manualReplyRate, humanReplyRate, manualreplyrate5m, manualreplyRate2m",75 / 75 / 33.33 / 33.33 / 100 / 100,按 metric_key + section + endpoint 合并入事实表
要,指标事实表,ota_ctrip_metric_facts,manual_session_count,人工会话量,服务质量/IM,用户行为-IM看板,im_board,已采到-门禁通过,"manualSessionCount, humanSessionCount, manualreplyin5mnum, replynum",1 / 1 / 0 / 1 / 0 / 0,按 metric_key + section + endpoint 合并入事实表
